school_id,school_name,education_level,latitude,longitude
771,EBF 1.2 Russolau,Basic,-8.847070,125.678489
938,EBF 1.2 Samoro,Basic,-8.845761,125.593311
42,EBF 1.2 Soro-Lau,Basic,-9.018300,125.526780
43,EBF 1.2 Suro-Craic,Basic,-9.059830,125.543010
1217,EBF 1.2 Tatiri,Basic,-8.965650,125.525594
1261,EBF 1.2 Taul - Rem,Basic,-8.809499,125.657593
1246,EBF 1.2 Teliga,Basic,-8.607374,125.370066
2272,EBF 1.2 Tukaro,Basic,-8.944010,125.521820
51,EBF 1.2 Uma Forma,Basic,-8.996460,125.501600
739,EBF 1.2.3 Lumoluli,Basic,-8.787000,125.673640
59,EBF 1.2.3 Manelobas,Basic,-8.844394,125.675426
41,EBF 1.2.3 Martinho de Araujo,Basic,-9.015885,125.479798
56,EBF 1.2.3 Mauciga,Basic,-8.929180,125.577511
1120,EPE Garibuana Mauchiga,Pre-School,-8.937104,125.586522
1121,EPE Leotelo,Pre-School,-8.965187,125.538160
1118,EPE Lulin Hato-Udo,Pre-School,-9.123431,125.591036
972,ESG Catolica St Inacio de Loila,Secondary,-8.832490,125.600060
1026,ESG Catolica St Maria Ainaro,Secondary,-8.988850,125.504840
1024,ESG Publico Fernando Lasama de Araujo,Secondary,-8.997150,125.505190
1299,Pre Escolar 20 de Maio,Pre-School,-9.135625,125.542701
1301,Pre Escolar 23 de Setembro,Pre-School,-9.016309,125.481718
1655,Pre Escolar 4 Montanhas,Pre-School,-9.009011,125.503157
1766,Pre Escolar 4 unidade Aimerleu,Pre-School,-9.131434,125.572105
1651,Pre Escolar 7 de Dezembro Bermoli,Pre-School,-8.809508,125.657391
1708,Pre Escolar Cafe Ainaro,Pre-School,-8.995540,125.501471
1300,Pre Escolar Cumunidade Ainaro,Pre-School,-8.993104,125.508825
1696,Pre Escolar Hato-Builico Vila,Pre-School,-8.897455,125.521002
1298,Pre Escolar Kareta Fatin,Pre-School,-8.993618,125.501123
1654,Pre Escolar Lemos P. Almeida,Pre-School,-8.863730,125.585090
1652,Pre Escolar Maubisse Vila,Pre-School,-8.832949,125.600732
1304,Pre Escolar Nazare 2 Lebolora,Pre-School,-9.015750,125.356110
1303,Pre Escolar Nazaret Aituto,Pre-School,-8.906545,125.586068
1302,Pre Escolar Nosa Senhora de Lurdes,Pre-School,-9.110475,125.583788
1587,Pre Escolar Nossa Senhora de Fatima Manu-Mera,Pre-School,-8.899290,125.577631
1765,Pre Escolar Nossa Senhora de Lurdes No.2,Pre-School,-9.120667,125.586708
1653,Pre Escolar Nunomogue,Pre-School,-8.952736,125.531678
1297,Pre Escolar St. Madalena Ainaro,Pre-School,-8.988837,125.506621
1735,EB 1.2.3 Cafe Baucau,Basic,-8.462197,126.452269
2273,EB Catolica 1 Bui Bela,Basic,-8.685090,126.595680
2282,EB Catolica 1 Daregata,Basic,-8.526560,126.435440
378,EB Catolica 1.2 Abo-Uaimatale,Basic,-8.637870,126.528450
2277,EB Catolica 1.2 Afaguia,Basic,-8.630270,126.667580
335,EB Catolica 1.2 Afaloicai,Basic,-8.689314,126.667906
370,EB Catolica 1.2 Atelari,Basic,-8.548940,126.700760
374,EB Catolica 1.2 Beliuali,Basic,-8.527510,126.696480
410,EB Catolica 1.2 Bercoli,Basic,-8.591520,126.386480
386,EB Catolica 1.2 Bualale,Basic,-8.629030,126.544100
2278,EB Catolica 1.2 Bubuha,Basic,-8.642550,126.680010
349,EB Catolica 1.2 Caisidu,Basic,-8.444970,126.386250
391,EB Catolica 1.2 Culo Guia/Gurusa,Basic,-8.577890,126.602050
336,EB Catolica 1.2 Defauasse,Basic,-8.598384,126.691096
350,EB Catolica 1.2 Diuaque,Basic,-8.447230,126.463060
344,EB Catolica 1.2 Fatumaka,Basic,-8.569310,126.387470
338,EB Catolica 1.2 Hae-Coni/Iarbau,Basic,-8.645560,126.630160
393,EB Catolica 1.2 Lelalai,Basic,-8.648810,126.506880
413,EB Catolica 1.2 Lia-hoo,Basic,-8.618820,126.383620
401,EB Catolica 1.2 Loi Lubo,Basic,-8.574080,126.336090
361,EB Catolica 1.2 Namanei,Basic,-8.524400,126.630740
346,EB Catolica 1.2 Nobel Bau Oli,Basic,-8.458610,126.445910
373,EB Catolica 1.2 Nunira,Basic,-8.482260,126.654680
372,EB Catolica 1.2 Saelari,Basic,-8.485380,126.698320
341,EB Catolica 1.2 Samalari,Basic,-8.599570,126.663150
388,EB Catolica 1.2 Santa Teresinha,Basic,-8.743640,126.385370
337,EB Catolica 1.2 Sao Jose Baguia,Basic,-8.628320,126.652680
5296,EB Catolica 1.2 St.D.Savio Baucau,Basic,-8.461204,126.450357
383,EB Catolica 1.2 Tequnomata,Basic,-8.477980,126.587040
356,EB Catolica 1.2 Ualili,Basic,-8.526510,126.435410
416,EB Catolica 1.2 Uato-Haco,Basic,-8.639280,126.381160
359,EB Catolica 1.2 Uato-Ua,Basic,-8.567700,126.443440
402,EB Catolica 1.2 Vemasse,Basic,-8.512030,126.209440
743,EB Catolica 1.2 Waimanuboe,Basic,-8.547540,126.455130
385,EB Catolica 1.2.3 Abafala,Basic,-8.546440,126.564910
2004,EB Catolica 1.2.3 Dom Bosco Laga,Basic,-8.469520,126.604280
392,EB Catolica 1.2.3 Laisurulai,Basic,-8.657340,126.535650
340,EB Catolica 1.2.3 Lavateri,Basic,-8.571864,126.681596
382,EB Catolica 1.2.3 Samalari,Basic,-8.490530,126.667200
384,EB Catolica 1.2.3 de Afaça,Basic,-8.547450,126.599960
937,EB Catolica 3 D. Bosco Fatumaca,Basic,-8.569310,126.387470
966,EB Catolica 3 Ossoqueli,Basic,-8.573014,126.335576
2083,EB Catolica 3 S. Cristovão Venilale,Basic,-8.639384,126.380116
762,EB Catolica 3 Sao Jose Baguia,Basic,-8.627860,126.653480
932,EB Catolica 3 St. Antonio Baucau ESSA Junior,Basic,-8.453800,126.456280
947,EB Catolica 3 St. Teresinha de Quelicai,Basic,-8.603864,126.561336
2279,EB Privado 1.2 Al-Amal,Basic,-8.474510,126.456770
942,EB Privado 3 Osso-Huna Baguia,Basic,-8.661680,126.620930
757,EBC 1.2 Baguia,Basic,-8.637436,126.657459
1017,EBC 1.2 Binagari Vemasse,Basic,-8.504240,126.235300
474,EBC 1.2.3 Buaua/ Lavateri Baguia,Basic,-8.572500,126.682240
351,EBC 1.2.3 Gari - Uai Baucau,Basic,-8.545585,126.413013
343,EBC 1.2.3 Osso-Huna Baguia,Basic,-8.659249,126.636212
755,EBC 1.2.3 Soba Laga,Basic,-8.473030,126.596960
371,EBC 3 Afaca/Quelicai,Basic,-8.546814,126.599317
745,EBC 3 Aubaca Baucau,Basic,-8.499800,126.366630
445,EBC 3 Bercoli Venilale,Basic,-8.584820,126.386820
731,EBC 3 Celestino Peloi Atelari Laga,Basic,-8.561330,126.713750
480,EBC 3 Laisorulai Quelicai,Basic,-8.655704,126.535076
14,EBC 3 Letemumo,Basic,-8.602830,126.557700
